Date,Open,High,Low,Close
2043-01-01,1845.59,1875.74,2042.98,1968.77
2043-01-02,2121.87,1539.5,1954.12,1954.04
2043-01-03,1688.39,1998.92,1893.22,1811.95
2043-01-06,1577.4,2047.06,1704.66,1928.24
2043-01-07,2067.43,2019.37,1493.44,2020.46
2043-01-08,2229.87,1751.78,1997.26,1751.07
2043-01-09,1876.99,1880.32,1735.09,1582.34
2043-01-10,2064.44,1977.93,2342.08,1916.98
2043-01-13,2174.49,1860.42,1944.73,1798.17
2043-01-14,1814.72,2023.85,2024.26,1924.67
2043-01-15,1809.33,1693.03,1799.81,1688.73
2043-01-16,1762.62,1945.57,1857.7,1912.09
2043-01-17,1860.24,2113.13,1805.78,1872.93
2043-01-20,1639.64,1753.87,1689.33,
2043-01-21,1759.63,1905.44,1778.6,2035.63
2043-01-22,2005.05,1901.79,1663.65,1578.9
2043-01-23,1783.71,1647.36,2015.4,1799.76
2043-01-24,2051.82,1750.44,1741.46,1828.81
2043-01-27,1678.57,1818.66,1816.75,1735.97
2043-01-28,2194.05,1708.48,,1773.36
2043-01-29,1986.56,1853.94,1748.16,1995.52
2043-01-30,,2395.18,1876.7,1768.34
2043-01-31,1804.32,1931.53,1717.31,2044.14
2043-02-03,2100.72,1757.54,1792.67,1675.86
2043-02-04,1912.63,2146.89,1802.14,2026.42
2043-02-05,1703.85,1720.66,1679.35,1906.8
2043-02-06,1871.82,2039.0,1874.29,1900.69
2043-02-07,1765.7,2436.5,1627.77,1974.14
2043-02-10,2103.16,2358.76,1739.02,1972.83
2043-02-11,2041.34,2028.86,1935.08,2158.32
2043-02-12,1690.84,2055.12,1792.46,1793.45
2043-02-14,1966.08,2175.02,1806.05,1685.5
2043-02-17,1782.78,1928.8,1941.19,1939.38
2043-02-18,1799.53,2162.7,1977.33,1872.41
2043-02-19,2017.74,1833.85,2074.23,1799.98
2043-02-20,1719.3,1899.68,2136.94,1893.78
2043-02-21,1952.93,2158.31,1937.58,2052.51
2043-02-24,2119.72,1875.46,1607.07,1596.64
2043-02-25,2012.64,2255.58,2107.1,1925.47
2043-02-26,2040.11,1528.88,1755.88,1887.94
2043-02-27,1792.08,2135.54,1685.33,2046.21
2043-02-28,1969.32,1971.1,1825.43,1587.63
2043-03-03,2000.39,1756.42,1789.91,1622.49
2043-03-04,2134.04,,1896.24,1733.07
2043-03-05,1730.68,1769.8,1809.56,1621.93
2043-03-06,1928.28,1823.34,2109.31,2100.37
2043-03-07,1819.37,1753.86,1844.38,1898.96
2043-03-10,1704.37,1554.97,2091.29,1852.97
2043-03-11,1966.93,1567.18,1716.74,1664.78
2043-03-12,1601.25,2295.72,1651.07,2072.37
2043-03-13,2151.43,1953.07,1882.16,1959.26
2043-03-17,2211.38,1927.99,1790.39,2169.74
2043-03-19,2002.63,1781.05,1728.27,1652.25
2043-03-20,1702.12,2029.78,1837.69,1626.13
