Date,Open,High,Low,Close
2047-10-05,300.11,334.84,309.06,302.55
2047-10-08,342.53,338.48,343.03,323.23
2047-10-09,312.67,325.01,267.73,337.17
2047-10-10,355.18,355.15,321.54,337.2
2047-10-11,327.23,339.76,299.04,355.21
2047-10-12,350.26,348.31,316.4,340.71
2047-10-15,333.23,336.65,339.8,356.6
2047-10-16,325.39,332.03,328.36,366.37
2047-10-17,364.02,357.96,337.47,384.45
2047-10-18,360.99,373.16,362.73,360.07
2047-10-19,361.36,353.06,315.01,358.89
2047-10-22,379.01,379.12,343.77,343.64
2047-10-23,377.34,379.23,359.95,374.06
2047-10-24,362.43,374.12,370.99,372.9
2047-10-25,349.53,344.25,336.64,360.17
2047-10-26,361.69,352.8,374.52,333.17
2047-10-29,390.79,349.41,378.98,377.0
2047-10-30,395.34,388.46,356.91,369.22
2047-10-31,340.81,381.3,347.28,355.11
2047-11-01,386.82,387.91,398.73,342.41
2047-11-02,,366.3,356.6,
2047-11-05,383.47,349.85,398.28,367.32
2047-11-06,404.67,405.58,381.77,390.24
2047-11-07,380.05,390.68,364.89,380.97
2047-11-08,379.0,368.88,357.19,373.48
2047-11-09,381.72,373.88,382.2,375.05
2047-11-12,381.35,398.64,379.62,362.75
2047-11-13,368.35,405.28,361.55,371.06
2047-11-14,407.79,406.9,347.57,395.21
2047-11-15,386.08,393.68,367.93,376.95
2047-11-16,372.54,381.1,349.33,406.71
2047-11-19,360.09,401.95,367.53,360.73
2047-11-20,372.7,378.41,351.57,411.09
2047-11-21,395.25,400.65,348.13,363.1
2047-11-22,354.73,367.14,382.51,372.16
2047-11-23,377.42,356.62,357.88,393.71
2047-11-26,399.96,402.66,369.32,368.06
2047-11-27,377.12,410.52,359.71,369.94
2047-11-28,361.62,358.2,384.26,386.06
2047-11-29,372.02,380.45,328.57,358.85
2047-11-30,380.74,381.76,357.74,324.28
2047-12-03,399.01,381.0,373.18,370.25
2047-12-04,362.02,368.5,359.95,389.95
2047-12-05,374.08,404.75,361.17,352.03
2047-12-06,367.25,367.03,374.57,378.13
2047-12-07,390.21,374.85,346.47,372.45
2047-12-10,394.74,371.57,381.9,368.18
2047-12-11,377.71,392.26,391.19,407.53
2047-12-12,347.26,368.42,368.88,368.76
2047-12-13,372.22,389.17,367.2,378.32
2047-12-14,365.15,377.3,363.6,379.77
2047-12-17,365.08,371.14,336.99,358.41
2047-12-18,379.95,381.61,323.52,364.16
2047-12-19,333.12,373.5,349.15,356.78
2047-12-20,348.0,383.35,368.22,345.63
2047-12-24,305.12,385.06,352.11,373.91
2047-12-26,355.79,391.52,373.11,384.86
