Date,Open,High,Low,Close
2043-01-01,1740.74,1690.11,1766.31,1836.67
2043-01-02,1757.21,,1966.38,1643.45
2043-01-03,1982.02,1881.88,1707.2,1899.35
2043-01-06,1626.34,1712.77,1777.4,1589.2
2043-01-07,1731.3,1926.68,1687.02,1821.98
2043-01-08,1853.51,1995.47,1742.97,1906.37
2043-01-09,1574.48,1681.33,1811.0,1980.05
2043-01-10,2022.36,1898.94,1784.4,1960.06
2043-01-13,1928.12,2016.15,1720.71,1954.69
2043-01-14,1958.96,1982.49,1689.38,1980.45
2043-01-15,1727.72,1544.19,1458.71,2163.5
2043-01-16,1928.34,1725.18,2079.57,1981.77
2043-01-17,1853.15,1764.07,1898.6,1685.13
2043-01-20,1609.77,1991.99,1631.43,1965.65
2043-01-21,1861.93,2006.67,1821.15,1822.22
2043-01-22,1937.31,1985.52,1901.47,1887.0
2043-01-23,1719.29,1877.47,1861.78,1753.09
2043-01-24,1843.93,1954.17,1737.16,1977.45
2043-01-27,1972.78,2049.08,1770.09,1985.94
2043-01-28,1787.35,1889.26,1770.5,1621.47
2043-01-29,1975.5,1848.75,1982.48,1896.12
2043-01-30,1950.99,1914.31,2008.84,1945.94
2043-01-31,1793.23,1788.87,1926.61,1682.09
2043-02-03,1723.83,1997.44,1930.57,1793.53
2043-02-04,1902.74,1654.26,1936.34,1810.99
2043-02-05,1903.94,1686.98,1782.9,2048.58
2043-02-06,1726.14,1782.5,1765.38,1845.67
2043-02-07,1982.77,1934.24,1890.62,1984.51
2043-02-10,1816.5,1722.32,1730.61,1530.38
2043-02-11,1641.67,1809.87,1938.27,1829.98
2043-02-12,1554.67,1912.43,2109.2,1937.68
2043-02-14,1744.05,1827.95,1936.31,1976.15
2043-02-17,2011.01,1985.85,1946.97,2011.97
2043-02-18,1802.6,1909.93,1724.43,1757.47
2043-02-19,1637.79,2104.25,1949.82,1903.7
2043-02-20,1565.14,1650.37,1650.25,2032.2
2043-02-21,1687.56,1898.3,1641.54,1871.79
2043-02-24,1980.39,1903.34,1626.28,1764.86
