Date,Open,High,Low,Close
2044-11-05,385.37,4297.094788504484,372.45,372.05
2044-11-08,349.21,367.19,345.4,339.56
2044-11-09,356.76,352.35,355.69,343.57
2044-11-10,371.62,376.19,363.91,344.62
2044-11-11,363.73,384.97,323.14,390.63
2044-11-12,389.96,373.11,328.0,383.56
2044-11-16,348.95,362.61,325.22,331.3
2044-11-17,346.09,356.28,350.33,354.15
2044-11-18,379.19,394.55,336.53,404.21
2044-11-19,349.96,356.09,357.86,364.67
2044-11-22,381.78,406.19,402.02,343.38
2044-11-23,381.28,344.02,333.07,381.62
2044-11-24,405.07,358.19,379.52,301.67
2044-11-25,359.06,366.62,343.68,395.57
2044-11-29,337.43,372.11,341.13,396.0
2044-11-30,365.73,343.24,,344.08
2044-12-01,387.54,375.85,405.91,349.17
2044-12-02,350.84,365.94,363.86,378.1
2044-12-03,319.21,362.2,337.44,361.0
2044-12-06,354.78,370.72,341.94,382.23
2044-12-07,350.76,347.66,339.07,360.03
2044-12-08,374.24,346.44,375.32,378.9
2044-12-09,352.89,349.01,,362.48
2044-12-10,386.62,370.02,379.7,373.41
2044-12-13,350.95,358.56,352.47,357.61
2044-12-14,344.41,348.46,374.88,374.08
2044-12-15,385.04,367.88,399.1,326.62
2044-12-16,316.51,365.97,335.2,375.05
2044-12-17,380.31,408.97,373.43,390.1
2044-12-20,352.01,398.56,372.06,353.84
2044-12-21,357.44,376.19,375.93,350.21
2044-12-22,358.82,391.58,379.0,383.13
2044-12-23,385.92,370.43,345.45,352.56
2044-12-24,349.64,369.15,379.72,353.57
2044-12-27,339.09,387.38,355.75,
2044-12-28,375.54,364.55,385.09,377.29
2044-12-29,418.79,362.52,344.75,356.2
2044-12-30,362.97,360.32,359.75,369.31
2044-12-31,358.6,384.73,406.85,391.07
2045-01-03,403.48,402.11,379.24,392.9
2045-01-04,360.7,382.12,369.85,390.04
2045-01-05,381.79,376.37,312.51,335.66
2045-01-06,370.26,348.76,390.96,344.84
2045-01-07,349.82,376.69,405.3,345.26
2045-01-10,343.41,378.1,369.94,353.31
2045-01-11,403.25,380.23,385.0,378.54
2045-01-12,404.02,358.74,360.5,349.44
2045-01-13,403.34,377.92,386.3,
2045-01-14,331.13,329.0,353.88,386.03
2045-01-17,380.44,352.64,393.43,372.47
2045-01-18,341.76,374.84,395.84,389.64
2045-01-19,369.49,340.69,370.92,375.55
2045-01-20,360.26,358.17,,339.61
2045-01-24,369.74,371.32,364.53,325.72
2045-01-25,339.72,378.73,344.49,330.34
2045-01-27,368.84,345.2,371.63,340.86
2045-01-28,327.69,366.38,322.53,358.75
2045-01-31,,373.29,388.45,387.42
2045-02-01,362.97,394.49,394.1,384.15
2045-02-02,359.47,379.74,365.86,331.69
2045-02-03,419.32,389.73,358.61,380.18
2045-02-04,375.68,367.38,393.5,364.24
2045-02-07,399.35,397.59,358.11,405.67
2045-02-08,405.59,335.04,4333.5124726508475,356.52
2045-02-09,396.65,418.45,394.23,407.81
2045-02-10,376.85,339.45,384.8,368.87
2045-02-11,356.29,364.35,403.54,379.94
2045-02-14,385.3,371.58,382.81,398.12
2045-02-15,383.89,347.9,393.83,331.83
2045-02-16,362.82,380.14,386.66,393.46
2045-02-17,362.44,,358.27,354.35
2045-02-18,394.51,326.44,343.03,350.08
2045-02-21,419.93,374.63,349.71,370.39
2045-02-22,395.98,418.52,388.84,351.1
2045-02-23,362.67,380.81,378.12,393.4
2045-02-24,358.36,356.59,399.98,360.63
2045-02-25,403.84,385.52,382.06,377.55
2045-02-28,430.73,400.27,386.86,366.68
2045-03-01,367.94,422.86,380.48,338.94
2045-03-02,369.5,361.02,367.32,356.81
2045-03-03,382.04,370.93,373.62,371.37
2045-03-04,348.77,377.14,374.66,404.43
2045-03-07,384.36,360.65,392.94,351.42
2045-03-08,401.22,384.36,363.99,396.09
2045-03-09,338.57,374.73,344.08,
2045-03-10,368.82,374.83,371.75,399.95
2045-03-11,362.21,352.66,377.59,394.92
2045-03-14,386.89,384.55,348.19,379.21
2045-03-15,402.51,386.51,357.57,370.85
2045-03-16,,,381.35,344.66
2045-03-17,403.31,381.99,375.4,403.24
2045-03-18,385.96,360.81,410.3,372.98
2045-03-21,380.4,399.47,349.44,397.76
2045-03-22,371.24,342.28,355.03,362.57
2045-03-23,365.9,412.23,388.63,337.58
2045-03-24,422.78,381.68,337.75,331.27
2045-03-28,384.75,418.32,347.8,390.22
2045-03-29,359.93,323.41,373.03,416.27
2045-03-30,343.49,375.71,354.77,411.85
2045-03-31,406.35,358.85,344.88,373.98
2045-04-01,386.75,400.46,388.31,392.94
2045-04-04,372.55,401.6,332.88,327.54
2045-04-05,377.82,349.4,358.45,375.87
2045-04-06,379.57,381.51,390.43,365.92
2045-04-07,413.26,363.56,381.06,343.94
2045-04-08,385.02,349.67,363.12,356.26
2045-04-11,353.66,343.67,351.48,352.27
2045-04-12,374.73,341.67,384.66,345.46
2045-04-13,364.0,351.65,383.78,353.72
2045-04-15,384.38,382.55,362.83,
2045-04-18,359.8,341.42,344.83,364.53
2045-04-19,364.81,361.42,363.62,348.3
2045-04-20,,369.74,364.74,392.32
2045-04-21,365.74,333.65,376.44,382.59
2045-04-22,352.04,343.22,352.11,367.09
2045-04-25,376.48,343.74,363.39,317.27
2045-04-26,412.4,346.6,385.09,372.76
2045-04-27,388.17,354.89,350.58,347.5
2045-04-28,360.38,367.26,322.9,359.45
2045-04-29,363.6,342.16,363.15,387.1
2045-05-02,338.85,372.32,346.78,363.25
2045-05-03,400.53,356.68,393.31,393.51
2045-05-04,335.22,366.23,356.38,369.01
2045-05-05,,369.43,364.88,397.89
2045-05-06,403.72,348.19,363.66,360.13
2045-05-09,331.18,346.44,338.79,353.4
2045-05-10,390.4,352.84,342.05,367.66
2045-05-11,350.1,361.96,357.48,368.67
2045-05-12,357.75,319.56,360.78,387.01
2045-05-13,351.42,360.21,371.12,349.25
2045-05-16,,395.04,355.88,389.37
2045-05-17,383.34,377.0,377.4,378.22
2045-05-18,358.29,348.91,388.14,371.41
2045-05-19,404.05,376.79,351.75,374.6
2045-05-20,368.25,350.54,378.58,380.29
2045-05-23,389.87,345.93,389.83,369.55
2045-05-24,401.3,385.2,403.24,375.59
2045-05-25,350.8,385.61,368.14,348.56
2045-05-26,371.53,360.42,359.38,398.0
2045-05-27,399.88,377.15,366.89,341.62
2045-05-30,353.87,407.21,355.92,393.84
2045-05-31,372.12,368.69,351.33,
2045-06-01,361.89,392.09,367.36,378.08
2045-06-02,385.57,354.87,419.57,375.93
2045-06-03,384.34,361.05,396.98,369.55
2045-06-04,354.76,,365.39,363.13
2045-06-06,373.85,411.85,321.53,358.82
2045-06-07,328.95,355.92,339.4,356.91
2045-06-08,373.3,409.99,383.1,390.71
2045-06-09,370.93,388.07,378.38,387.56
2045-06-10,388.93,372.15,339.99,347.43
2045-06-13,337.47,333.1,340.91,372.5
2045-06-14,376.99,402.1,339.79,375.91
2045-06-15,355.62,364.6,379.45,369.08
2045-06-16,368.33,385.71,345.46,355.77
2045-06-17,395.74,355.25,355.29,383.97
2045-06-20,364.51,388.59,358.07,358.2
2045-06-21,384.77,395.82,355.44,355.48
2045-06-22,382.97,351.25,387.11,370.69
2045-06-23,375.37,370.68,382.69,
2045-06-24,382.91,340.83,343.71,387.48
2045-06-27,338.47,341.01,363.03,358.4
2045-06-28,388.27,348.31,391.26,363.17
2045-06-29,420.24,386.09,364.72,353.57
2045-06-30,380.47,374.76,397.78,344.37
2045-07-01,357.54,380.83,378.01,359.93
2045-07-04,380.52,379.93,350.6,325.13
2045-07-05,359.48,367.91,372.96,363.05
2045-07-06,350.65,355.09,384.26,379.95
2045-07-07,392.43,383.0,359.86,324.11
2045-07-08,403.49,346.87,336.38,
2045-07-11,360.89,366.63,362.94,369.92
2045-07-12,,413.47,362.28,350.5
2045-07-13,338.86,388.58,358.6,385.98
2045-07-14,392.77,402.99,346.94,379.0
2045-07-15,388.45,396.74,337.18,372.93
2045-07-18,358.8,393.76,356.01,391.7
2045-07-19,380.92,,341.63,376.44
2045-07-20,374.62,383.01,338.39,325.1
2045-07-21,401.3,373.82,401.56,350.49
2045-07-22,358.38,420.15,356.65,370.31
2045-07-25,347.37,356.68,378.32,355.8
2045-07-26,421.52,377.35,387.24,413.21
2045-07-27,402.08,400.29,353.06,391.02
2045-07-29,330.68,,356.42,363.8
2045-08-01,364.85,393.25,352.56,388.54
2045-08-02,395.8,406.0,357.23,401.0
2045-08-03,363.02,374.61,,414.8
2045-08-04,413.68,345.55,400.18,360.49
2045-08-05,371.34,404.3,358.46,383.4
2045-08-08,403.07,378.38,385.97,372.99
2045-08-09,394.18,350.38,357.21,398.34
2045-08-10,369.86,392.38,396.82,355.19
2045-08-11,348.15,380.5,389.71,366.92
2045-08-12,419.17,392.71,380.06,393.31
2045-08-16,365.14,391.19,374.57,
2045-08-17,387.35,372.14,359.32,387.55
2045-08-18,383.04,385.51,384.15,360.55
2045-08-19,418.25,354.2,389.2,381.47
2045-08-22,402.55,384.69,394.09,392.9
2045-08-23,407.8,399.11,395.94,407.6
2045-08-24,376.19,363.38,380.92,382.25
2045-08-25,365.37,413.11,390.47,370.83
2045-08-26,413.99,377.68,,395.3
2045-08-29,397.55,383.43,350.73,362.23
2045-08-30,327.46,383.26,393.02,368.87
2045-08-31,410.29,353.13,363.22,389.13
2045-09-01,391.69,373.98,410.91,400.64
2045-09-02,379.49,384.31,387.72,408.34
2045-09-05,428.32,365.06,372.46,399.73
2045-09-06,406.7,405.12,397.29,383.53
2045-09-08,412.48,403.96,380.16,421.68
2045-09-09,416.38,374.66,380.74,420.6
2045-09-12,344.81,419.67,387.59,412.63
2045-09-13,364.76,392.54,409.26,397.48
2045-09-14,390.39,405.52,424.04,373.81
2045-09-15,395.88,422.94,414.49,343.46
2045-09-16,377.71,390.55,387.32,387.57
2045-09-19,310.95,380.61,384.64,382.81
2045-09-20,423.79,378.63,415.33,377.7
2045-09-21,424.07,373.66,,400.53
2045-09-22,381.66,,408.04,375.37
2045-09-23,371.1,388.91,393.95,411.69
2045-09-26,389.59,401.54,371.83,392.37
2045-09-27,388.54,347.73,367.38,394.9
2045-09-28,387.24,410.13,390.72,419.11
2045-09-29,387.33,422.07,383.48,409.35
