Date,Open,High,Low,Close
2043-01-01,3949.15,3609.2,3983.82,4063.98
2043-01-02,3802.55,3889.22,4089.16,4200.48
2043-01-03,3523.31,3459.36,3975.22,3907.87
2043-01-06,3932.79,2859.03,3532.15,3708.79
2043-01-07,4043.1,3851.57,3280.59,3781.73
2043-01-08,3675.58,4120.86,4186.96,4136.33
2043-01-09,3643.13,3927.22,4065.36,4326.4
2043-01-10,3739.73,3651.95,3802.5,4189.85
2043-01-13,3721.31,3780.27,3429.03,3443.03
2043-01-14,3802.05,3769.21,3799.64,3398.42
2043-01-15,3886.16,4367.92,3866.58,3553.26
2043-01-16,4225.31,4239.4,3601.18,3907.61
2043-01-17,3688.65,4333.52,3484.1,3708.41
2043-01-20,4432.63,4072.66,,3747.45
2043-01-21,4204.37,4082.24,3366.9,3504.61
2043-01-22,3932.46,3786.31,3702.73,3863.27
2043-01-23,4335.17,4052.26,3995.06,4147.29
2043-01-24,3411.4,3782.22,3944.2,3784.11
2043-01-27,3486.91,3760.94,3810.45,3548.5
2043-01-28,3435.49,3547.14,3888.73,3856.57
2043-01-29,2848.14,3366.67,3912.69,3856.23
2043-01-30,4360.27,4333.23,4382.71,4049.95
2043-01-31,3927.4,3612.21,3376.4,4254.97
2043-02-03,3880.74,3750.91,3626.06,3974.92
2043-02-04,4361.17,3269.23,3685.5,3603.98
2043-02-05,4237.47,3716.58,3949.31,4199.97
2043-02-06,4077.78,4192.49,3973.1,3923.61
2043-02-07,3799.78,3748.55,3711.92,4119.85
2043-02-10,3729.49,3943.96,3805.21,3655.25
2043-02-11,3643.06,4202.21,3917.66,3845.15
2043-02-12,4109.18,3846.16,3420.34,3884.44
2043-02-14,3515.79,4129.46,3297.39,3845.7
2043-02-17,3381.38,4407.34,4346.59,3836.82
2043-02-18,3867.31,3752.23,3724.04,
2043-02-19,3600.25,2943.04,3944.57,3301.95
2043-02-20,3901.66,3897.76,4166.66,3534.62
2043-02-21,4386.86,4372.81,3804.82,3765.8
2043-02-24,3261.24,3864.24,4246.62,3556.99
2043-02-25,4197.2,4180.32,4616.46,3497.78
2043-02-26,4065.39,3712.67,3973.23,3590.68
2043-02-27,3704.12,3645.2,3429.73,3811.19
2043-02-28,4062.6,3944.89,3649.05,4103.85
2043-03-03,4070.12,,3526.37,3863.2
2043-03-04,3462.9,3398.16,3763.85,3825.4
2043-03-05,3332.7,3755.36,3681.86,3511.52
2043-03-06,3931.99,3721.92,3543.24,4051.35
2043-03-07,3754.49,3362.44,3868.72,3767.33
2043-03-10,3322.4,3654.69,4277.59,3388.94
2043-03-11,4154.14,4073.89,,3359.65
2043-03-12,3416.51,4034.55,3825.85,3532.2
2043-03-13,3935.16,3629.7,3730.79,3146.47
2043-03-17,3214.57,3563.16,3791.9,3692.16
2043-03-19,3371.57,3473.97,3887.64,3562.44
2043-03-20,3851.92,3807.83,3472.74,3600.95
2043-03-21,3391.53,3956.96,4219.03,3753.3
2043-03-22,4105.84,3431.13,3776.37,3734.33
2043-03-24,3642.0,3766.21,3556.46,4077.1
2043-03-25,3999.78,3870.1,3606.25,3560.5
2043-03-26,4147.2,3566.8,3757.94,3606.23
2043-03-27,,3770.51,4300.13,3334.26
2043-03-28,3343.99,3941.48,3705.75,3143.28
2043-03-31,3345.34,3623.76,4099.67,3576.17
2043-04-01,3853.54,3790.4,3415.02,4233.47
2043-04-02,3980.32,3613.34,3666.07,3825.61
2043-04-03,4045.63,4155.83,4253.34,4113.88
2043-04-04,3295.61,3478.95,3947.25,3889.91
2043-04-07,3810.9,3650.5,3323.89,4326.56
2043-04-08,2992.03,3825.08,4151.28,3083.62
