Date,Open,High,Low,Close
2043-01-01,1742.21,1972.84,1808.1,1872.08
2043-01-02,2095.22,2274.97,2026.67,2031.47
2043-01-03,2010.54,1681.82,2151.0,1721.54
2043-01-06,1883.57,1973.06,1637.16,1768.27
2043-01-07,2147.73,1757.23,1902.86,1723.07
2043-01-08,1950.25,1678.29,1804.55,1932.97
2043-01-09,1914.44,1765.46,1891.11,2148.13
2043-01-10,1947.66,1872.87,1714.58,1735.98
2043-01-13,1885.83,1968.36,2448.74,2045.39
2043-01-14,2087.52,1856.83,2118.39,1611.93
2043-01-15,1928.03,1940.38,1919.0,1664.28
2043-01-16,2209.5,2007.88,1871.45,2145.36
2043-01-17,1902.24,1976.95,1968.48,1888.53
2043-01-20,2100.41,2164.94,1664.13,1987.56
2043-01-21,2083.92,2152.02,1925.97,1902.92
2043-01-22,2138.74,1671.06,1880.76,2041.17
2043-01-23,1775.46,2082.0,1864.34,2128.79
2043-01-24,1961.01,1981.74,1721.07,1753.02
2043-01-27,1688.49,1893.6,1873.41,2023.92
2043-01-28,1713.3,1918.18,2029.85,1730.59
2043-01-29,1659.92,1949.72,1612.47,1801.35
2043-01-30,2170.23,2099.59,1641.77,1762.63
2043-01-31,1715.66,1750.87,1681.01,1948.71
2043-02-03,1932.93,1541.86,,1789.58
2043-02-04,1930.47,2214.75,1938.02,1860.58
2043-02-05,1927.85,1791.69,2067.88,2007.7
2043-02-06,1858.97,1974.62,1942.29,2138.01
2043-02-07,1813.74,2007.17,2164.3,2345.78
2043-02-10,2108.97,1450.6,1890.08,1943.33
2043-02-11,2061.78,1762.74,2099.48,2147.7
2043-02-12,2216.95,1981.37,1712.51,1740.9
2043-02-14,1926.16,1776.49,1862.38,2069.68
2043-02-17,1871.65,1809.98,2082.7,2045.03
2043-02-18,1887.96,1539.79,1896.75,1754.46
2043-02-19,1799.67,2153.2,2131.89,2091.9
2043-02-20,1979.57,1825.04,1888.94,1764.87
2043-02-21,1985.15,1910.1,1598.94,1703.85
2043-02-24,1964.54,1914.03,1393.42,1855.64
2043-02-25,1893.95,1599.54,1948.56,1931.12
2043-02-26,1877.99,2139.9,2146.62,1844.2
2043-02-27,1753.09,2043.8,1754.93,2365.98
2043-02-28,1815.44,2005.03,2082.78,1969.0
2043-03-03,1894.04,2118.79,2039.32,2213.47
2043-03-04,1981.38,1954.72,2049.85,1915.96
2043-03-05,2084.75,1670.73,1875.06,1641.08
2043-03-06,1503.98,1769.71,1821.5,1855.07
2043-03-07,1624.41,1732.39,2036.93,1908.02
2043-03-10,1704.28,2318.69,1886.26,1937.58
2043-03-11,1821.76,1818.3,2382.04,1953.66
2043-03-12,2002.95,1949.31,1893.13,1963.54
2043-03-13,1926.07,2084.62,1839.28,1710.45
2043-03-17,2114.83,1961.22,2116.16,1940.09
2043-03-19,1835.61,1751.42,2012.72,1971.82
2043-03-20,1834.66,1925.07,2055.76,1834.15
2043-03-21,,1795.67,1770.5,1938.17
2043-03-22,1772.94,1942.71,1877.64,2098.96
2043-03-24,1948.64,2065.52,1662.59,1796.47
2043-03-25,1956.23,1718.62,1700.18,2018.3
2043-03-26,1944.02,1894.46,2048.31,1879.68
2043-03-27,2196.07,1744.11,1726.29,1874.73
2043-03-28,2000.6,1945.89,1997.03,1903.04
2043-03-31,,2083.46,2202.07,1835.7
2043-04-01,2230.78,2137.61,2093.37,2015.2
2043-04-02,1895.6,2053.32,2007.55,1864.41
2043-04-03,1894.6,,2058.97,2002.17
2043-04-04,1961.45,1950.18,2050.57,1730.93
2043-04-07,1988.58,2064.56,1577.45,2145.54
2043-04-08,1803.76,1703.15,1943.65,1730.4
2043-04-09,2121.26,1932.56,2093.56,1718.47
2043-04-10,1676.54,1903.74,2108.3,1688.86
2043-04-11,2125.38,1821.4,1791.59,1899.24
2043-04-15,1860.67,2012.73,2033.42,2065.55
2043-04-16,1926.0,1646.66,1632.29,2095.25
2043-04-17,2198.31,2078.43,1971.47,2078.17
2043-04-21,,1901.91,2113.17,2243.3
2043-04-22,2022.44,1756.58,2181.07,1765.3
2043-04-23,2190.45,2063.33,1975.9,1719.89
2043-04-24,1962.85,1993.1,2082.61,1767.74
2043-04-25,1834.3,2046.23,,1950.64
2043-04-28,1905.99,1801.47,1908.75,1906.08
2043-04-29,1889.65,1907.66,2051.79,1606.06
2043-04-30,1925.56,2167.76,1879.79,1819.0
2043-05-02,1825.75,2221.07,1933.57,1666.95
2043-05-05,1679.6,2157.34,2168.08,1883.84
2043-05-06,2112.88,2098.05,1686.41,2211.37
2043-05-07,2229.96,1940.05,1877.32,2070.1
2043-05-08,2026.29,2199.28,1921.38,1886.81
2043-05-09,1783.93,1870.63,1833.01,1911.79
2043-05-12,1959.38,1818.06,2136.74,2074.75
2043-05-13,2041.67,1971.11,1829.45,1674.87
2043-05-14,1908.62,1712.23,1964.95,1967.59
2043-05-15,2177.72,1830.01,1788.74,2227.92
2043-05-16,1823.08,1624.47,1978.18,2116.11
2043-05-19,1605.28,2042.79,1789.34,1790.04
2043-05-20,1913.18,2020.49,2096.64,2021.39
2043-05-21,2061.27,1957.89,2236.51,1973.97
2043-05-22,2198.06,2074.05,1918.32,2004.33
2043-05-23,2127.85,2255.69,1908.87,1795.78
2043-05-26,2101.73,1851.71,1957.0,1430.27
2043-05-27,2220.32,1954.41,2077.46,1968.14
2043-05-28,1709.7,2048.11,1974.72,1894.15
2043-05-29,1863.19,2076.06,2110.9,1825.07
2043-05-30,1841.85,,2091.21,1789.37
2043-06-02,2032.82,1816.04,1691.34,1802.65
2043-06-03,1974.79,1748.42,2120.41,1847.93
2043-06-04,1888.24,2041.22,1800.0,1779.2
2043-06-05,2031.3,2190.05,2197.68,1978.51
2043-06-06,1881.09,1758.7,1879.31,1910.9
2043-06-09,1916.29,1899.81,2135.08,2063.14
2043-06-10,1729.83,1717.11,1613.37,1822.34
2043-07-11,2064.94,2106.57,1934.2,1911.18
2043-07-14,1847.05,1899.21,1893.9,1997.38
2043-07-15,1917.64,2191.67,2115.13,1798.01
2043-07-16,2117.7,1799.93,1876.57,1915.73
2043-07-17,1972.18,2001.6,1688.51,1579.37
2043-07-18,2095.39,1739.07,2028.44,1763.17
2043-07-21,2149.18,1758.88,2183.87,2134.29
2043-07-22,1909.19,2132.7,2008.16,2070.25
2043-07-23,2264.56,2001.51,1978.35,1474.71
2043-07-24,1871.17,2203.02,2248.99,1847.34
2043-07-25,1589.19,2052.93,2317.57,1874.34
2043-07-28,2086.41,2220.48,1755.01,2059.84
2043-07-29,1725.81,1768.38,2084.51,1746.24
2043-07-30,2027.32,2009.39,1728.3,1989.38
2043-07-31,1950.25,1840.52,1679.7,1854.3
2043-08-01,1764.44,1767.59,1933.51,1797.09
2043-08-04,1891.64,1913.3,1650.6,1498.53
2043-08-05,2016.26,2072.64,1988.0,2314.79
2043-08-06,2077.61,1799.36,1925.17,2204.31
2043-08-07,2200.49,2010.77,1650.18,1568.82
2043-08-08,1945.88,1941.03,1805.48,2114.24
2043-08-11,1997.61,1982.02,1849.14,2112.41
2043-08-12,2019.1,2116.92,1698.02,1729.16
2043-08-13,2127.93,2132.9,1945.95,2302.4
2043-08-14,1790.84,1683.91,1979.87,2037.65
2043-08-18,2195.75,1982.55,1920.8,1714.78
