Date,Open,High,Low,Close
2043-01-01,10874.39,11969.98,10111.46,13833.45
2043-01-02,11503.97,9195.1,13331.01,10623.93
2043-01-03,11563.76,12958.24,13278.24,
2043-01-06,12362.3,13412.98,12719.11,11784.13
2043-01-07,9870.33,9755.68,,12562.32
2043-01-08,11570.27,10191.22,11413.73,10887.2
2043-01-09,11816.7,12571.44,11641.48,12961.69
2043-01-10,11199.31,9841.74,9896.25,11973.02
2043-01-13,11660.71,12166.97,10453.58,11309.44
2043-01-14,12503.63,9069.86,11642.27,12645.0
2043-01-15,9543.74,12337.29,14155.06,12841.41
2043-01-16,11373.29,10432.32,13075.43,11183.81
2043-01-17,,11379.74,9724.59,11707.06
2043-01-20,12153.44,11995.27,11690.57,11925.63
2043-01-21,10995.16,11039.85,,11925.72
2043-01-22,11397.19,9862.73,11041.54,11827.25
2043-01-23,11864.34,10471.43,9617.07,10545.19
2043-01-24,13329.43,9450.31,9694.89,13168.66
2043-01-27,10864.85,8819.53,11185.09,12134.06
2043-01-28,11086.76,11182.81,10145.27,12364.3
2043-01-29,10878.22,12473.69,11502.33,10399.73
2043-01-30,11349.34,12765.41,12533.75,10029.04
2043-01-31,11538.78,9009.69,12638.48,11688.26
2043-02-03,10650.2,10290.47,10210.18,12740.07
2043-02-04,11547.58,12605.06,10301.05,8785.61
2043-02-05,11264.03,12020.1,10444.27,10490.06
2043-02-06,12075.91,8379.6,10981.14,10610.58
2043-02-07,13333.86,13692.2,12592.03,12535.9
2043-02-10,9724.39,11891.11,11973.27,10099.6
2043-02-11,11485.86,13391.04,11294.02,10794.2
2043-02-12,11516.03,12996.27,11079.95,11682.33
2043-02-14,11469.54,14396.44,12560.51,13250.99
2043-02-17,12918.05,11631.53,12363.73,11677.49
2043-02-18,12406.71,9602.17,10053.26,10704.27
2043-02-19,11103.95,,12495.9,13126.18
2043-02-20,11449.62,11446.63,11612.19,11168.54
2043-02-21,11340.79,10130.33,12731.03,11002.02
2043-02-24,12387.69,10808.08,11975.24,12684.66
2043-02-25,12002.66,11830.67,11961.8,
2043-02-26,12449.19,10668.47,10959.52,11178.4
2043-02-27,11011.81,11528.65,13125.49,12541.13
2043-02-28,9184.24,10677.36,10750.37,12899.1
2043-03-03,11718.35,11174.06,14799.88,12502.92
2043-03-04,12893.82,13368.15,11504.07,11118.21
2043-03-05,13858.64,10805.07,11085.74,8853.52
2043-03-06,13335.53,9478.72,9887.81,13203.45
2043-03-07,11298.47,13175.91,12063.22,12085.77
2043-03-10,11383.46,13331.31,11961.68,12465.07
2043-03-11,10147.97,9336.79,10273.37,11694.23
2043-03-12,13097.45,13272.59,10650.82,9052.47
2043-03-13,11989.66,10157.79,12959.79,11452.33
2043-03-17,9899.72,12902.89,12393.52,10335.37
2043-03-19,12193.53,10719.14,,11505.47
2043-03-20,11387.67,11494.58,10066.33,12984.11
2043-03-21,14876.26,11902.64,10602.48,10657.48
2043-03-22,12958.48,11864.32,10697.17,11621.14
2043-03-24,11737.32,10229.64,11174.81,10510.24
2043-03-25,13048.66,11421.75,11967.05,10732.13
2043-03-26,9810.01,10862.01,,13179.67
2043-03-27,10717.57,11455.72,11978.31,10614.52
2043-03-28,10265.39,10608.94,10875.94,12158.19
2043-03-31,10812.06,12406.19,10821.7,11016.17
2043-04-01,11933.01,9563.13,10626.27,10913.95
2043-04-02,10726.44,11801.84,11058.12,11763.96
2043-04-03,11376.94,11441.13,11444.06,14214.76
2043-04-04,11351.7,13088.46,9958.64,10111.66
2043-04-07,11084.2,11985.05,10099.42,11788.72
2043-04-08,12810.25,12392.77,10927.89,12604.76
2043-04-09,9270.21,10300.86,11084.09,11640.31
2043-04-10,10841.79,13654.05,11950.1,10746.25
2043-04-11,9959.88,11050.2,10818.1,
2043-04-15,11013.48,10348.34,9602.05,9892.07
2043-04-16,11751.67,9152.94,12496.81,14000.75
2043-04-17,13354.82,10347.81,11829.78,12261.34
2043-04-21,12729.11,9503.6,11909.53,10934.01
2043-04-22,10456.89,11714.35,10940.69,10561.41
2043-04-23,11593.63,9362.76,11722.91,10342.15
2043-04-24,10161.25,11612.45,,12455.26
2043-04-25,11161.09,12331.16,10542.78,12900.86
2043-04-28,12290.74,13225.75,12416.31,12192.56
2043-04-29,13233.99,10310.87,12146.94,11760.8
2043-04-30,11261.79,12315.31,12105.88,10715.24
2043-05-02,8989.08,11380.72,12190.46,10402.19
2043-05-05,10338.2,12257.02,10723.34,10221.19
2043-05-06,12500.57,11917.3,10440.23,13414.47
2043-05-07,11577.45,12570.92,12094.95,10361.27
2043-05-08,10835.33,10511.93,12954.35,12022.2
2043-05-09,13140.5,12738.5,12289.11,10030.85
2043-05-12,10444.63,11131.62,11876.41,9646.68
2043-05-13,11730.79,12326.2,11377.77,11411.15
2043-05-14,11365.38,13644.57,11431.58,13148.0
2043-05-15,12104.75,11082.78,13376.06,9326.31
2043-05-16,11029.01,12175.64,10635.14,10842.73
2043-05-19,10958.86,11655.51,12095.99,10824.71
2043-05-20,9492.68,10614.19,9288.11,11726.68
2043-05-21,11634.07,11370.36,11998.51,10971.79
2043-05-22,8826.54,11318.7,13727.22,10970.5
2043-05-23,12557.35,9944.14,12065.16,11920.48
2043-05-26,13419.25,11443.11,13534.09,11327.32
2043-05-27,9000.97,12676.69,12109.55,12066.4
2043-05-28,11274.15,12286.57,12320.53,10764.28
2043-05-29,11251.57,12938.15,11516.17,11189.88
2043-05-30,12682.6,11081.74,11931.32,9856.36
2043-06-02,11317.13,13742.85,13895.61,10973.15
2043-06-03,9759.35,12088.98,13933.91,11881.98
2043-06-04,11326.14,11742.91,11354.6,11573.98
2043-06-05,,11582.81,11984.0,13594.89
2043-06-06,12026.2,11141.07,11261.08,11392.83
2043-06-09,11052.49,,12122.84,12457.24
2043-06-10,12382.61,9740.77,11613.15,12266.62
2043-06-11,12445.14,12719.18,10836.69,10924.65
2043-06-12,12043.68,11630.56,11361.95,10443.3
2043-06-13,11544.98,13868.95,10554.97,10030.58
2043-06-16,12062.43,10108.72,13496.94,11986.25
2043-06-17,12232.92,,12433.26,13510.58
2043-06-18,10892.33,,10188.72,10690.39
2043-06-19,11322.12,11552.43,10172.56,11590.16
2043-06-20,12594.97,12320.46,12790.16,8498.88
2043-06-23,11666.79,12537.89,12401.26,10570.81
2043-06-24,11360.52,12026.06,10959.85,12037.43
2043-06-25,8811.39,11445.1,10334.11,10725.15
2043-06-26,8467.91,10663.44,12276.14,11941.43
2043-06-27,12143.34,10778.88,11700.54,12662.13
2043-06-30,9658.7,10232.39,10918.44,12035.29
2043-07-01,12370.67,10999.67,11336.43,10772.32
