Date,Open,High,Low,Close
2043-01-01,3035.17,2543.2,2850.68,2841.84
2043-01-02,2652.49,3021.46,2865.5,2766.34
2043-01-03,2631.92,2747.53,2849.37,2374.05
2043-01-06,2703.74,2718.0,2602.74,3039.49
2043-01-07,2530.33,2716.89,2999.4,2600.8
2043-01-08,2757.42,2777.08,2659.27,2674.83
2043-01-09,2743.81,3012.98,2729.28,2378.75
2043-01-10,2826.26,2259.74,2518.98,2449.79
2043-01-13,2823.92,2837.62,2945.53,2753.62
2043-01-14,2439.14,2782.73,2917.37,2913.42
2043-01-15,2589.82,2396.44,2000.82,2667.79
2043-01-16,2837.02,2613.68,2699.29,2685.22
2043-01-17,2878.86,2637.2,2575.11,2366.06
2043-01-20,2574.25,2992.87,,2656.63
2043-01-21,3113.97,3389.45,3041.18,3218.03
2043-01-22,2525.48,2768.5,3114.59,2913.96
2043-01-23,2296.67,2612.45,2744.55,2878.51
2043-01-24,2795.07,2630.61,2902.63,2723.88
2043-01-27,2885.92,2348.65,2913.67,3157.14
2043-01-28,2764.23,2934.43,2858.73,2846.46
2043-01-29,2655.28,2666.6,2497.3,2848.16
2043-01-30,2327.36,2863.18,2582.0,
2043-01-31,2857.5,2663.54,2902.21,3002.29
2043-02-03,2959.65,3036.68,2877.48,2791.85
2043-02-04,2694.54,2605.57,2624.57,2911.45
2043-02-05,2994.66,2662.81,2568.82,2951.7
2043-02-06,2956.17,3157.99,3045.66,3098.61
2043-02-07,3156.52,2574.49,2958.52,2530.5
2043-02-10,3161.07,3266.08,3087.16,3037.53
2043-02-11,3076.38,2917.75,2807.92,2726.44
2043-02-12,2603.75,2473.07,2886.36,2772.17
2043-02-14,2845.19,2675.33,2632.46,2916.02
2043-02-17,2743.17,2620.74,2998.96,2642.62
2043-02-18,3231.77,2833.99,,2824.4
2043-02-19,3259.56,2913.19,2973.04,2899.57
2043-02-20,2860.36,2772.39,2885.18,3160.29
2043-02-21,2630.04,2859.22,3007.3,3190.77
2043-02-24,2869.55,2922.76,2778.4,2941.04
2043-02-25,2990.81,3157.75,2579.53,3146.87
2043-02-26,2694.08,3287.4,3396.2,2810.11
2043-02-27,2911.56,2678.51,2933.93,2598.06
2043-02-28,2909.02,2976.32,3094.88,2724.79
2043-03-03,,3123.94,2962.34,2622.21
2043-03-04,2809.55,2410.87,2988.09,
2043-03-05,2519.23,2828.21,2523.5,2787.93
2043-03-06,2198.12,2738.57,2780.91,2672.09
2043-03-07,2689.76,2882.02,2859.12,2407.39
2043-03-10,2845.34,2812.22,2754.12,3102.32
2043-03-11,3181.28,2914.14,2673.84,2504.56
2043-03-12,2560.49,2660.75,2761.38,2980.11
2043-03-13,2716.05,2497.01,,3118.93
2043-03-17,3079.68,3233.34,2644.9,2379.48
2043-03-19,2911.47,2567.61,2789.6,2673.42
2043-03-20,2628.36,2403.84,2884.06,2587.79
2043-03-21,2624.13,2412.72,2915.48,2696.4
2043-03-22,2979.92,3427.25,2246.18,2711.32
2043-03-24,2965.03,2703.56,3003.78,2313.72
2043-03-25,2822.0,2734.75,2401.02,3118.13
2043-03-26,2828.53,2908.38,2893.35,3301.39
2043-03-27,2802.79,3035.79,2725.63,2795.52
2043-03-28,,2539.11,2392.57,2454.25
2043-03-31,2494.34,2808.38,2943.53,3017.08
2043-04-01,2755.61,2791.88,2806.73,29406.26635221642
2043-04-02,3132.97,2609.51,2879.22,2550.98
2043-04-03,2650.2,2955.75,2910.1,2683.85
2043-04-04,3108.64,2949.93,3546.87,2969.18
2043-04-07,2957.64,2653.95,2947.16,2924.45
2043-04-08,2601.56,2806.68,2376.43,2771.96
2043-04-09,2652.91,2774.4,3393.56,2577.67
2043-04-10,2780.27,2642.12,2894.54,2900.37
2043-04-11,2819.78,2252.08,2865.79,3168.83
2043-04-15,3120.88,2669.59,2785.79,
2043-04-16,2815.1,3470.8,2854.72,2977.52
2043-04-17,2678.97,2344.97,2687.37,2713.54
2043-04-21,3497.99,2693.83,2760.29,2914.37
2043-04-22,3039.28,2748.68,2650.82,2705.5
2043-04-23,2837.24,2708.02,2733.73,2570.04
2043-04-24,3052.48,3216.01,2908.32,2684.19
2043-04-25,2884.31,2250.12,2880.5,2875.16
2043-04-28,2808.56,2720.65,3076.24,2576.42
2043-04-29,2754.57,2951.95,2790.61,3223.11
2043-04-30,2657.39,2495.14,2900.07,2477.95
2043-05-02,3179.07,2962.46,2328.54,2626.99
