Date,Open,High,Low,Close
2043-01-01,1887.44,2043.69,2033.8,1935.04
2043-01-02,2079.12,1740.48,1805.0,1902.65
2043-01-03,2433.81,2307.76,2216.6,1670.89
2043-01-06,1979.08,2205.99,2157.57,1965.09
2043-01-07,2189.1,2177.64,1882.33,1921.98
2043-01-08,1919.06,2109.59,2279.96,1963.18
2043-01-09,2014.94,2232.06,2113.76,
2043-01-10,2233.63,1739.94,1735.15,2084.74
2043-01-13,2298.68,2200.61,2001.48,1769.88
2043-01-14,1882.59,1672.79,1579.37,2065.02
2043-01-15,2199.05,2296.84,1885.08,2101.6
2043-01-16,2042.26,1995.55,1995.77,2088.74
2043-01-17,1806.12,2161.38,2326.02,2064.74
2043-01-20,2090.15,1551.78,2295.05,2067.51
2043-01-21,1910.12,2139.04,2041.74,1739.76
2043-01-22,1879.45,1985.07,2230.01,2022.71
2043-01-23,2045.64,2060.98,2124.02,2056.49
2043-01-24,1821.34,1809.88,1972.44,2138.86
2043-01-27,1547.18,1795.36,2066.14,1858.88
2043-01-28,2285.64,2182.79,2403.81,2185.71
2043-01-29,1953.16,1905.55,1765.33,2098.87
2043-01-30,2066.89,1804.58,2263.87,2047.77
2043-01-31,2020.3,2373.5,2210.01,2182.22
2043-02-03,2226.73,2159.76,2364.25,
2043-02-04,2028.85,1774.89,1985.69,1838.37
2043-02-05,1954.65,2160.91,2214.37,2076.58
2043-02-06,1938.89,1994.25,1957.53,2293.5
2043-02-07,2101.05,2140.88,2173.81,2302.68
2043-02-10,2098.49,1718.25,1964.97,2159.12
2043-02-11,1956.5,,1989.48,1849.04
2043-02-12,1856.53,2403.21,1796.87,2095.9
2043-02-14,1943.79,2233.21,1882.99,2062.05
2043-02-17,1900.29,1900.17,2239.28,2081.1
2043-02-18,2190.72,1956.73,2120.6,2289.32
2043-02-19,1834.62,1990.89,2017.1,2556.1
2043-02-20,2181.96,2151.3,2382.88,2004.76
2043-02-21,1999.11,2176.28,2369.88,1826.1
2043-02-24,2093.23,2214.24,2641.53,
2043-02-25,2196.66,2180.53,2174.61,1537.37
2043-02-26,1872.85,1828.52,1983.43,2205.18
2043-02-27,2307.25,2141.11,1710.55,1992.3
2043-02-28,2250.9,1984.3,2091.67,2061.39
2043-03-03,1919.69,1788.91,2171.89,1670.77
2043-03-04,2134.69,1482.61,2029.06,2368.86
2043-03-05,2313.13,2012.34,2079.93,1901.25
