Date,Open,High,Low,Close
2043-01-01,2206.86,1655.76,2022.12,2324.22
2043-01-02,1773.98,1907.09,2188.8,2302.97
2043-01-03,1762.05,1727.67,2068.65,2270.24
2043-01-06,2410.04,1900.7,2153.49,2056.69
2043-01-07,1998.88,1811.76,2168.63,1981.73
2043-01-08,1967.61,2192.23,1999.15,2232.1
2043-01-09,2118.27,2209.79,1954.1,1933.1
2043-01-10,1921.04,1754.43,2460.44,1850.86
2043-01-13,2416.39,2535.8,2101.62,
2043-01-14,1968.24,2234.87,2042.47,1876.93
2043-01-15,1888.13,2072.07,2245.38,2009.93
2043-01-16,2264.59,2054.57,2056.23,1973.79
2043-01-17,1680.39,1843.56,2412.59,1961.7
2043-01-20,1865.76,2018.39,2268.58,1716.96
2043-01-21,2337.8,,1964.49,2077.25
2043-01-22,1921.75,2248.61,2053.2,2027.71
2043-01-23,1809.74,2223.88,2208.15,2478.73
2043-01-24,2015.11,2193.66,2419.55,2078.64
2043-01-27,2205.22,2058.61,2011.14,1807.19
2043-01-28,2059.85,2000.58,1934.15,1915.28
2043-01-29,2112.62,1930.5,2222.62,1808.99
2043-01-30,2088.8,2058.46,2256.12,2291.05
2043-01-31,2179.15,2165.71,2245.06,1735.39
2043-02-03,2321.83,2024.0,2037.95,2076.61
2043-02-04,2079.73,2389.38,1990.23,1686.33
2043-02-05,1852.23,2244.46,1792.92,1976.06
2043-02-06,2196.55,1997.57,2134.14,2312.93
2043-02-07,2279.49,1961.78,2161.44,2231.74
2043-02-10,1765.93,1960.06,1972.22,2360.44
2043-02-11,1951.59,2206.41,1995.2,1961.66
2043-02-12,2067.13,1798.28,2121.66,1868.67
2043-02-14,2066.26,2194.76,2328.23,2010.24
2043-02-17,2067.01,2194.24,1897.97,2136.47
2043-02-18,2028.59,2284.58,2722.54,1978.45
2043-02-19,2338.71,2221.21,2409.7,1795.17
2043-02-20,1758.72,2197.4,2084.64,1699.43
2043-02-21,2119.64,1969.45,1744.98,2150.48
2043-02-24,1906.79,2022.75,1711.01,2194.27
2043-02-25,1833.57,2094.84,2001.15,2129.05
2043-02-26,1974.72,2183.5,2150.39,2054.92
2043-02-27,2467.26,1871.11,1921.24,2096.12
2043-02-28,2089.16,1715.76,2253.47,2188.28
2043-03-03,1923.45,2216.5,2253.52,1843.95
2043-03-04,2050.79,1922.05,2166.98,1880.41
2043-03-05,1879.04,2001.45,,1931.01
2043-03-06,2094.91,2163.13,2067.16,1963.45
2043-03-07,2077.68,1895.49,1708.09,2240.49
2043-03-10,2309.18,2126.83,2169.39,2098.97
2043-03-11,2187.12,2229.34,1611.67,1850.54
2043-03-12,2061.39,2198.79,2246.87,1736.26
2043-03-13,2334.66,1956.77,2165.68,2111.72
2043-03-17,2088.67,2371.0,2019.73,2123.66
2043-03-19,2126.35,2060.98,1945.16,2021.73
2043-03-20,2035.19,2085.86,2332.17,2016.08
2043-03-21,2000.51,2201.42,1634.39,1982.61
2043-03-22,2193.36,1972.99,2127.25,1854.63
2043-03-24,2228.02,2326.17,1968.38,
2043-03-25,2019.18,2199.18,2039.17,2415.36
2043-03-26,1836.91,2255.86,2189.45,2033.99
2043-03-27,2440.92,1911.24,2166.16,2017.18
2043-03-28,2246.12,2239.88,2115.94,2047.03
2043-03-31,2011.27,2381.01,2012.19,1910.17
2043-04-01,1747.89,2430.82,2151.78,2017.94
2043-04-02,2419.43,1852.5,2515.33,1872.7
2043-04-03,2046.61,2101.37,2206.98,2004.74
2043-04-04,1717.24,2122.01,1958.48,2015.91
2043-04-07,2231.82,2484.28,2064.54,1819.36
2043-04-08,2266.6,2067.24,1966.24,2001.22
2043-04-09,1865.23,1775.87,1525.7,2149.05
2043-04-10,1865.14,1807.25,2165.61,1776.94
2043-04-11,1677.8,2086.86,2210.45,2021.36
2043-04-15,2294.13,1922.78,2076.99,1844.98
2043-04-16,1680.62,2092.98,1966.84,1870.72
2043-04-17,2354.91,2183.65,,1976.47
2043-04-21,2320.74,2072.76,,2482.22
2043-04-22,2194.78,2610.54,1928.09,2164.15
2043-04-23,1936.83,2058.42,1785.38,1881.25
2043-04-24,2313.87,1949.11,2362.69,2105.07
2043-04-25,2540.73,2250.51,2245.07,1942.49
2043-04-28,2209.47,1710.69,2041.19,1911.36
2043-04-29,1728.94,2108.45,1667.66,1591.54
2043-04-30,2077.46,2038.08,1807.71,1871.68
2043-05-02,2221.34,2042.05,1899.45,2114.16
2043-05-05,,2116.65,2047.56,2279.69
2043-05-06,2135.28,2371.36,2072.38,2232.49
2043-05-07,1953.87,1688.89,2152.39,2190.4
2043-05-08,2066.56,2375.79,1715.7,2078.95
2043-05-09,1968.02,2284.58,2251.39,2250.57
2043-05-12,1716.51,2234.13,2204.04,2153.69
2043-05-13,2236.18,2206.06,2339.68,2332.93
2043-05-14,1963.94,2335.07,2034.67,2474.32
2043-05-15,2399.08,1850.36,2188.74,2061.87
2043-05-16,2278.51,2105.42,2109.13,1849.32
2043-05-19,2074.01,2439.65,2140.82,2030.78
2043-05-20,2353.36,2050.65,2146.36,2172.27
2043-05-21,2019.5,2240.17,2013.32,2255.29
2043-05-22,2034.49,1617.08,2109.12,2259.87
2043-05-23,1950.13,2225.89,2053.12,18097.406181938713
2043-05-26,1977.58,2158.96,2134.47,2426.29
2043-05-27,1755.09,2142.52,1910.44,2054.31
2043-05-28,2190.55,1850.16,,1764.75
2043-05-29,2073.82,1588.3,1923.91,1681.98
2043-05-30,,2306.86,2125.65,2170.44
2043-06-02,2186.1,2169.16,1865.98,1816.86
2043-06-03,2118.08,1889.97,2200.81,2157.2
2043-06-04,1945.39,2236.1,2014.8,2223.38
2043-06-05,2049.3,1886.87,2287.04,1913.93
2043-06-06,2472.22,1786.7,2090.49,2150.02
2043-06-09,2283.12,2004.95,2077.76,2068.1
2043-06-10,2300.72,,2103.6,2390.57
2043-06-11,1617.05,1866.35,2004.36,2462.74
2043-06-12,1596.93,2379.28,1760.19,2080.19
2043-06-13,1887.37,2019.94,2166.41,1939.85
2043-06-16,2263.17,2301.31,2487.27,2100.99
2043-06-17,2055.49,1792.3,2246.96,1788.32
2043-06-18,1966.46,2064.63,1910.18,2098.03
2043-06-19,1915.32,2035.13,1904.02,2160.24
2043-06-20,2306.12,2158.51,2008.49,2100.83
2043-06-23,1782.51,2485.89,1769.34,1849.47
2043-06-24,1737.75,2114.88,2100.56,2005.73
2043-06-25,1800.77,2069.61,2175.35,2322.15
2043-06-26,2251.17,2171.77,2162.83,1729.29
2043-06-27,2094.76,2118.68,1931.75,2044.57
2043-06-30,2120.27,2492.95,2064.71,1899.35
2043-07-01,1847.61,2234.3,2318.95,2338.65
2043-07-02,2129.62,1839.39,1804.23,2338.64
2043-07-03,1795.84,2116.74,2122.49,2048.74
2043-07-04,1975.8,2107.41,2018.21,1829.17
2043-07-07,2019.04,2329.58,1962.35,1745.42
2043-07-08,2113.48,1973.41,1695.72,2074.24
2043-07-09,1927.26,2201.12,2117.03,2068.35
2043-07-10,2254.07,2057.54,2180.53,2132.61
2043-07-11,1818.33,2055.49,2176.47,1905.0
2043-07-14,2110.52,2135.23,1970.5,
2043-07-15,2293.23,1819.32,1854.72,2245.14
2043-07-16,2054.14,2128.28,1770.32,2231.81
2043-07-17,2120.24,2004.1,2003.01,1854.8
2043-07-18,1787.92,2073.68,2100.13,2260.48
2043-07-21,2377.35,1774.04,2125.93,2323.89
2043-07-22,2156.73,2146.73,1934.1,1870.39
2043-07-23,1634.9,1794.79,2233.3,2180.65
2043-07-24,2221.48,2332.22,2469.25,2055.81
