Date,Open,High,Low,Close
2043-01-01,603.23,655.12,609.57,575.76
2043-01-02,765.08,565.14,590.23,656.34
2043-01-03,598.19,559.82,633.41,639.92
2043-01-06,641.44,634.57,638.6,609.34
2043-01-07,626.65,660.7,530.87,712.53
2043-01-08,655.76,572.51,671.69,649.68
2043-01-09,601.53,626.23,620.24,586.0
2043-01-10,588.29,689.54,661.97,542.44
2043-01-13,610.18,577.3,615.49,592.06
2043-01-14,644.91,628.84,616.5,619.66
2043-01-15,609.0,691.04,637.3,648.19
2043-01-16,647.19,581.38,569.45,589.89
2043-01-17,540.59,510.79,614.98,573.98
2043-01-20,585.77,606.29,565.45,633.76
2043-01-21,626.24,604.39,643.92,587.2
2043-01-22,731.35,535.53,593.59,663.81
2043-01-23,666.07,562.0,548.58,593.36
2043-01-24,606.78,663.82,596.71,632.23
2043-01-27,651.33,725.33,566.41,502.42
2043-01-28,608.69,596.23,,591.72
2043-01-29,698.52,583.04,634.66,641.39
2043-01-30,652.42,642.64,660.58,645.42
2043-01-31,698.93,625.77,585.91,605.26
2043-02-03,618.34,609.08,558.64,572.88
2043-02-04,626.54,598.18,620.04,706.02
2043-02-05,673.74,615.17,694.46,687.4
2043-02-06,456.93,583.65,636.49,613.06
2043-02-07,545.57,622.69,624.63,667.64
2043-02-10,586.86,586.27,602.56,684.97
2043-02-11,615.2,592.49,667.93,643.42
2043-02-12,654.8,617.16,681.49,582.15
2043-02-14,581.62,641.83,611.4,534.2
2043-02-17,711.4,601.02,650.5,624.45
2043-02-18,542.86,608.17,632.48,675.99
2043-02-19,551.91,576.81,578.87,583.98
2043-02-20,546.27,622.58,653.15,655.43
2043-02-21,642.7,596.15,620.24,578.19
2043-02-24,549.13,574.48,651.55,575.36
2043-02-25,620.44,547.25,680.74,572.35
2043-02-26,679.68,502.28,599.18,610.97
2043-02-27,597.96,664.12,724.17,692.3
2043-02-28,632.53,626.15,656.38,619.77
2043-03-03,683.73,614.37,669.23,695.88
2043-03-04,603.13,564.74,643.44,691.78
2043-03-05,518.44,540.79,628.0,654.43
2043-03-06,548.75,585.68,661.51,582.56
2043-03-07,585.53,593.53,646.3,615.24
2043-03-10,731.67,561.88,638.83,673.13
2043-03-11,571.01,609.67,626.69,613.14
2043-03-12,646.56,624.07,642.66,646.02
2043-03-13,646.34,626.51,560.08,677.7
2043-03-17,629.19,689.22,567.27,572.96
2043-03-19,662.41,588.64,582.11,636.35
2043-03-20,583.98,706.34,531.97,637.97
2043-03-21,480.28,716.29,699.32,586.92
2043-03-22,726.55,597.7,652.03,550.23
2043-03-24,606.59,655.85,623.24,580.05
2043-03-25,579.28,551.55,615.04,600.8
2043-03-26,631.91,641.23,580.01,646.32
2043-03-27,501.19,526.74,591.08,557.57
2043-03-28,677.49,735.64,611.08,624.11
2043-03-31,651.41,596.8,546.12,562.67
2043-04-01,694.43,618.55,629.17,608.07
2043-04-02,658.03,589.46,623.0,574.82
2043-04-03,632.78,666.15,616.93,604.45
2043-04-04,539.37,620.95,599.45,664.33
2043-04-07,691.64,538.24,657.96,680.54
2043-04-08,544.78,592.37,703.62,597.44
2043-04-09,567.54,663.81,716.35,606.45
2043-04-10,665.25,685.33,594.14,609.09
2043-04-11,613.23,622.52,597.08,649.62
2043-04-15,625.3,650.33,670.43,624.83
2043-04-16,677.36,667.93,687.03,633.85
2043-04-17,609.19,681.69,579.47,585.13
2043-04-21,631.6,577.72,591.14,662.72
2043-04-22,643.87,631.3,621.64,605.78
2043-04-23,562.37,701.22,545.81,638.93
2043-04-24,651.09,542.66,730.17,616.49
2043-04-25,586.73,716.64,623.98,597.8
2043-04-28,632.72,625.72,634.94,548.2
2043-04-29,604.16,627.68,665.22,632.16
2043-04-30,588.03,626.31,559.99,661.7
2043-05-02,677.97,592.83,670.99,642.54
2043-05-05,4684.802197003307,586.4,670.73,558.18
2043-05-06,625.46,649.91,553.21,661.38
2043-05-07,581.2,681.92,560.74,596.36
2043-05-08,556.42,681.51,643.79,631.37
2043-05-09,659.79,639.42,659.38,730.51
2043-05-12,585.91,524.69,692.4,587.35
2043-05-13,669.71,571.65,521.53,649.87
2043-05-14,637.0,503.18,620.54,481.02
2043-05-15,569.3,628.92,560.0,637.14
2043-05-16,622.55,628.78,673.12,599.58
2043-05-19,669.32,718.41,535.24,620.03
2043-05-20,673.12,657.87,619.0,649.99
2043-05-21,635.47,647.0,583.39,690.09
2043-05-22,625.45,720.05,595.57,642.54
2043-05-23,661.29,,622.62,631.09
2043-05-26,649.24,717.99,648.43,597.99
2043-05-27,703.27,628.53,547.87,600.34
2043-05-28,675.6,668.35,630.66,636.67
2043-05-29,686.73,624.98,689.7,661.21
2043-05-30,680.18,623.69,590.35,532.3
2043-06-02,607.01,663.29,597.88,685.21
2043-06-03,701.61,710.79,634.33,612.07
2043-06-04,639.81,605.26,659.15,671.84
2043-06-05,618.22,616.83,,622.39
2043-06-06,651.37,632.14,633.75,575.53
2043-06-09,556.71,673.22,635.45,562.63
2043-06-10,571.66,677.16,687.71,712.4
2043-06-11,758.97,604.66,709.82,674.0
2043-06-12,670.37,740.59,693.66,680.93
2043-06-13,697.68,719.29,720.67,639.09
2043-06-16,623.47,687.07,711.13,695.22
2043-06-17,694.95,692.73,554.03,690.3
2043-06-18,604.68,606.48,713.72,660.0
2043-06-19,593.27,714.23,667.93,777.13
2043-06-20,666.44,629.38,644.91,608.6
2043-06-23,622.88,724.2,687.17,650.66
2043-06-24,622.75,683.95,643.13,620.15
2043-06-25,664.34,728.69,627.27,599.45
2043-06-26,683.89,564.82,736.02,670.08
2043-06-27,683.99,680.93,754.08,623.92
2043-06-30,600.47,591.45,579.13,670.54
2043-07-01,683.97,677.75,612.1,738.7
2043-07-02,635.2,640.89,573.56,680.36
2043-07-03,707.81,623.97,615.23,615.85
2043-07-04,635.76,667.82,745.22,602.72
2043-07-07,605.09,661.96,657.76,601.1
2043-07-08,596.38,644.56,697.13,
2043-07-09,653.77,643.95,692.07,629.09
2043-07-10,666.02,578.78,692.24,681.54
2043-07-11,,614.53,644.98,711.7
2043-07-14,608.68,646.08,719.26,708.17
2043-07-15,706.51,717.13,570.65,737.88
2043-07-16,701.46,654.14,704.59,588.07
2043-07-17,643.09,673.42,600.88,627.69
2043-07-18,609.57,681.99,609.17,715.82
2043-07-21,689.67,720.35,686.65,654.19
2043-07-22,681.72,715.7,560.23,647.27
2043-07-23,669.31,709.74,,636.24
2043-07-24,670.19,604.47,620.21,671.05
2043-07-25,679.22,590.2,609.39,620.25
2043-07-28,794.27,672.62,590.1,653.31
2043-07-29,601.86,662.81,605.85,682.66
2043-07-30,644.33,601.43,577.01,599.82
2043-07-31,719.02,635.31,638.48,661.43
2043-08-01,616.38,678.32,662.56,693.49
2043-08-04,707.43,658.8,604.82,584.92
2043-08-05,634.68,789.87,,719.27
2043-08-06,688.31,611.91,691.8,640.67
2043-08-07,720.59,699.28,648.82,682.04
2043-08-08,670.26,745.1,647.13,694.2
2043-08-11,662.08,656.91,799.15,615.62
2043-08-12,696.59,727.96,630.87,721.2
2043-08-13,690.0,724.24,678.96,711.41
2043-08-14,732.28,594.13,678.84,664.58
2043-08-18,812.18,676.64,613.4,625.68
2043-08-19,599.57,684.75,669.72,622.07
2043-08-20,748.75,577.06,672.71,761.98
2043-08-21,625.01,659.15,675.03,619.54
2043-08-22,673.79,632.87,891.28,676.2
2043-08-25,723.18,732.32,735.83,
2043-08-26,689.19,741.45,675.28,661.38
2043-08-27,688.15,656.11,670.03,677.42
2043-08-28,733.01,635.1,666.35,672.84
2043-08-29,840.66,700.63,583.56,
2043-09-01,732.98,575.09,745.53,632.68
2043-09-02,672.33,655.98,723.54,702.97
2043-09-03,664.07,793.32,749.02,671.37
2043-09-04,648.9,746.71,748.08,655.74
2043-09-05,702.54,660.78,704.27,631.94
2043-09-08,736.34,652.59,740.21,708.45
2043-09-09,665.21,757.31,632.91,708.67
2043-09-10,724.3,685.73,674.65,722.02
2043-09-11,739.33,664.57,648.8,655.48
2043-09-12,711.29,706.66,643.57,631.44
2043-09-15,,711.19,626.62,691.86
2043-09-16,620.87,701.99,617.92,684.24
2043-09-17,670.41,629.74,694.98,683.48
2043-09-18,552.94,635.35,676.05,637.04
2043-09-19,683.63,725.42,711.68,607.5
2043-09-22,658.53,773.94,622.95,752.56
2043-09-23,692.98,609.97,648.0,670.2
2043-09-24,628.29,694.65,757.45,733.95
2043-09-25,641.61,591.42,703.5,656.96
2043-09-26,605.03,653.98,717.99,652.25
2043-09-29,645.09,653.54,723.9,722.92
2043-09-30,711.46,724.77,799.47,762.8
2043-10-01,716.3,746.51,673.52,673.26
2043-10-03,739.32,645.29,768.05,
2043-10-06,701.99,718.84,752.69,753.34
2043-10-07,744.61,712.38,,749.16
2043-10-08,,746.02,717.03,685.42
2043-10-09,777.23,711.99,662.53,720.29
2043-10-10,686.96,758.77,661.53,785.58
2043-10-13,651.49,795.17,716.67,734.75
2043-10-14,667.63,713.46,683.76,777.94
2043-10-15,644.92,691.93,697.67,738.33
2043-10-16,588.82,611.01,748.74,725.45
2043-10-17,779.68,720.61,642.82,706.28
2043-10-20,696.46,723.86,653.62,790.72
2043-10-21,589.73,640.85,731.57,770.77
2043-10-22,648.86,739.08,659.5,702.14
2043-10-23,812.75,661.67,643.23,712.24
2043-10-24,756.79,729.99,675.99,700.78
2043-10-25,698.78,751.36,684.2,682.94
2043-10-27,665.9,692.47,648.95,661.09
2043-10-28,763.05,670.4,728.61,606.51
2043-10-29,665.55,660.21,685.24,616.01
2043-10-30,696.42,690.08,777.84,709.17
2043-10-31,699.82,660.85,639.91,721.39
2043-11-03,726.98,681.6,789.29,720.53
2043-11-04,726.97,742.06,730.2,751.36
2043-11-05,753.55,,750.76,798.26
2043-11-06,791.72,784.6,740.42,735.33
2043-11-07,689.29,684.13,773.75,720.24
2043-11-10,623.62,697.1,683.3,683.65
2043-11-11,740.0,795.03,672.75,758.67
2043-11-12,752.56,718.09,691.06,776.31
2043-11-13,755.08,768.27,638.98,802.92
2043-11-14,688.08,698.25,657.71,651.56
2043-11-15,709.48,815.86,721.06,650.93
2043-11-17,713.63,739.6,,672.52
2043-11-18,796.24,682.38,645.84,731.84
2043-11-19,704.38,698.37,671.13,742.68
2043-11-20,654.7,669.48,800.33,773.95
2043-11-21,683.57,699.76,653.73,705.58
2043-11-24,745.92,691.28,751.13,681.52
2043-11-25,705.26,789.37,656.07,680.75
2043-11-27,771.11,657.53,613.78,643.7
2043-11-28,735.9,582.2,699.14,762.23
2043-12-01,669.15,712.59,665.35,718.44
2043-12-02,698.89,741.2,764.55,772.53
2043-12-03,707.44,738.47,724.45,715.06
2043-12-04,713.89,782.96,829.65,770.93
2043-12-05,714.36,782.9,752.22,713.3
2043-12-08,822.24,707.09,,694.85
2043-12-09,711.89,733.82,655.13,720.98
2043-12-10,720.04,810.98,803.68,725.72
2043-12-11,674.56,658.75,701.86,879.43
2043-12-12,762.01,608.42,798.81,736.76
2043-12-15,817.0,771.81,802.19,730.05
2043-12-16,714.09,736.29,730.0,797.12
2043-12-17,798.92,735.23,692.99,733.71
2043-12-18,704.21,650.88,865.04,807.53
2043-12-19,747.52,831.56,753.73,764.0
2043-12-22,762.67,700.27,806.37,772.56
2043-12-23,795.49,746.34,741.29,805.1
2043-12-24,741.83,816.92,761.62,820.76
2043-12-26,745.3,777.91,845.93,
2043-12-29,701.69,809.36,742.41,770.22
2043-12-30,775.34,810.83,826.03,793.05
2043-12-31,848.7,749.7,774.21,828.0
2044-01-01,726.35,732.6,752.71,807.62
2044-01-02,722.69,874.28,803.43,840.52
2044-01-05,813.38,839.83,788.51,847.4
2044-01-06,902.63,884.4,781.48,887.35
2044-01-07,786.03,819.66,780.65,897.07
2044-01-08,778.63,758.21,836.5,905.91
2044-01-09,956.01,826.18,769.38,833.05
2044-01-12,835.74,898.64,827.87,818.19
2044-01-13,761.44,785.55,861.18,687.55
2044-01-14,765.85,822.16,738.71,829.48
2044-01-15,806.53,760.07,787.11,786.3
2044-01-16,827.43,774.54,860.74,758.5
2044-01-19,8540.576434925306,794.79,735.9,731.7
2044-01-20,870.22,679.67,784.15,755.04
2044-01-21,765.95,785.23,685.13,871.08
2044-01-22,670.93,702.84,719.06,667.22
2044-01-23,762.25,826.18,826.11,814.38
2044-01-27,781.82,796.37,757.28,762.19
2044-01-28,821.13,698.35,724.06,810.01
2044-01-29,714.04,703.73,721.46,701.91
2044-01-30,748.18,782.55,724.26,730.5
2044-02-03,780.46,750.08,769.47,709.15
2044-02-04,701.95,827.26,713.23,769.29
2044-02-05,652.92,780.94,722.69,802.56
2044-02-06,690.67,799.74,771.15,780.88
2044-02-09,732.87,815.09,719.57,807.87
2044-02-10,782.22,771.18,830.73,823.52
2044-02-11,729.7,806.72,869.55,813.46
2044-02-12,836.0,683.46,730.98,779.37
2044-02-13,754.45,807.64,745.86,728.88
2044-02-16,705.39,801.56,803.69,859.9
2044-02-17,775.92,746.5,869.6,799.34
2044-02-18,834.96,745.02,,725.7
2044-02-19,712.12,769.14,815.22,827.46
2044-02-20,773.49,691.97,773.81,749.02
2044-02-23,705.29,704.36,752.71,703.88
2044-02-24,772.02,831.42,756.5,710.22
2044-02-25,773.88,782.33,701.44,792.55
2044-02-26,739.8,767.75,798.02,711.57
2044-02-27,758.46,734.74,694.87,781.69
2044-03-01,737.4,739.73,687.21,704.78
2044-03-03,763.13,765.1,729.2,781.69
2044-03-04,,755.8,766.83,798.02
2044-03-05,792.94,742.11,763.45,728.68
2044-03-08,760.92,822.86,890.76,749.78
2044-03-09,829.89,744.55,752.65,874.92
2044-03-10,879.25,762.94,780.65,
2044-03-11,727.92,668.77,884.46,789.31
2044-03-12,823.27,739.99,671.35,904.72
2044-03-15,748.52,822.16,760.38,775.8
2044-03-16,797.72,800.09,728.62,808.41
2044-03-17,749.6,749.1,,714.54
2044-03-18,727.89,811.94,774.18,753.38
2044-03-19,733.45,779.58,739.78,
2044-03-22,781.46,779.74,826.35,838.16
2044-03-23,802.35,788.34,702.43,839.15
2044-03-24,847.01,715.54,696.75,781.13
2044-03-25,765.31,805.99,820.49,741.05
2044-03-26,678.27,766.4,724.58,702.34
2044-03-29,701.18,816.41,785.43,785.91
2044-03-30,787.27,781.99,792.47,805.46
2044-03-31,738.87,707.92,668.73,715.72
2044-04-01,766.98,781.81,811.09,756.3
2044-04-02,,776.99,807.57,792.21
2044-04-05,739.06,692.53,870.4,753.57
2044-04-06,765.35,816.2,812.9,811.66
2044-04-07,758.93,800.06,860.28,753.5
2044-04-08,733.07,826.2,766.72,722.47
2044-04-12,825.47,809.12,814.83,848.84
2044-04-13,733.54,762.9,815.67,816.46
2044-04-15,758.22,808.92,843.37,667.99
2044-04-16,786.97,757.02,829.29,834.99
2044-04-17,842.2,803.32,786.36,822.95
2044-04-19,732.48,773.23,711.68,849.11
2044-04-20,826.31,776.87,740.51,792.24
2044-04-21,722.66,862.03,779.61,850.33
2044-04-22,688.35,832.48,820.89,767.94
2044-04-23,788.3,793.15,767.91,851.76
2044-04-27,759.14,754.36,756.07,818.39
2044-04-28,786.24,732.34,650.86,769.09
2044-04-29,811.53,790.3,767.89,794.84
