Date,Open,High,Low,Close
2043-01-01,1102.47,1158.56,996.3,1105.04
2043-01-02,1184.56,1032.72,1100.05,1071.96
2043-01-03,1299.83,1048.07,1078.18,
2043-01-06,1017.26,1054.6,1057.63,970.06
2043-01-07,1056.1,1060.9,993.95,1130.43
2043-01-08,1026.18,1108.44,1037.15,1012.85
2043-01-09,1155.53,1108.84,1044.11,1003.16
2043-01-10,1097.8,1036.44,954.15,1225.9
2043-01-13,949.69,1122.36,1040.47,1019.2
2043-01-14,1066.73,1142.01,1077.77,934.86
2043-01-15,934.96,1099.39,1058.26,978.21
2043-01-16,1039.83,998.53,1007.59,
2043-01-17,1059.61,1123.65,1059.22,941.6
2043-01-20,1164.28,1094.49,1039.1,1000.54
2043-01-21,1102.37,1020.7,1003.05,1100.28
2043-01-22,1051.73,1221.26,1063.39,1077.99
2043-01-23,954.46,1063.43,891.96,1088.46
2043-01-24,1103.25,922.79,1049.74,1116.21
2043-01-27,904.15,1018.7,1065.63,1030.9
2043-01-28,1017.39,1183.52,1050.34,1013.78
2043-01-29,949.65,949.38,886.34,984.58
2043-01-30,1046.17,1073.31,1018.22,1195.16
2043-01-31,1199.56,1140.06,1028.86,1147.84
2043-02-03,1145.76,1008.06,1061.16,986.87
2043-02-04,1055.93,1034.83,1026.38,964.46
2043-02-05,969.24,919.95,1026.36,1056.11
2043-02-06,1063.83,1013.49,1103.49,1084.38
2043-02-07,1063.02,1009.91,967.75,1066.79
2043-02-10,961.11,1230.32,980.53,1068.35
2043-02-11,1013.57,1066.27,979.76,995.73
2043-02-12,1067.72,1106.79,1074.29,1068.98
2043-02-14,991.44,1010.86,1222.17,1059.79
2043-02-17,998.03,1007.92,1076.25,1095.44
2043-02-18,1080.89,1011.97,1046.07,918.07
2043-02-19,1140.78,928.98,1108.59,1030.34
2043-02-20,1132.64,1017.62,963.61,
2043-02-21,986.95,1051.42,1085.95,979.13
2043-02-24,1095.42,1075.74,1075.48,950.9
2043-02-25,1053.29,1156.33,972.0,930.59
2043-02-26,1069.63,992.1,975.97,1057.85
2043-02-27,1033.54,998.36,1039.49,1047.46
2043-02-28,1083.95,,970.67,1055.07
2043-03-03,962.28,1041.38,1064.63,1054.17
2043-03-04,1095.62,881.2,990.88,1112.71
2043-03-05,1053.28,902.11,1031.56,
2043-03-06,1005.28,987.98,984.37,1053.23
2043-03-07,1058.8,1083.13,1059.1,997.68
2043-03-10,962.18,1000.28,977.35,1014.83
2043-03-11,976.6,936.25,1054.0,1092.86
2043-03-12,1112.69,1044.78,967.21,1052.93
2043-03-13,950.83,1046.94,1020.32,1072.07
2043-03-17,1040.3,1003.49,1045.21,1047.99
2043-03-19,1164.99,1184.67,1048.01,1113.26
