Date,Open,High,Low,Close
2043-01-01,1301.59,1380.33,1395.44,1346.45
2043-01-02,1218.33,1345.65,1269.73,1284.22
2043-01-03,1425.36,1267.08,1351.12,1341.98
2043-01-06,1285.74,1374.98,1337.03,1500.73
2043-01-07,1310.99,1464.14,1449.98,1513.98
2043-01-08,1427.56,14517.191401437469,1254.16,1286.47
2043-01-09,1491.35,1335.26,1338.69,1463.06
2043-01-10,,1345.08,1299.85,1161.05
2043-01-13,1464.2,1386.05,1260.64,1357.18
2043-01-14,1543.62,1461.39,1418.1,1348.82
2043-01-15,1331.44,1425.23,1483.39,1162.88
2043-01-16,1567.33,1341.54,1399.23,1377.87
2043-01-17,1411.52,1340.52,1277.08,1292.12
2043-01-20,1494.88,1434.81,1321.14,1230.78
2043-01-21,1476.4,1249.14,1316.24,1384.32
2043-01-22,1230.91,1330.42,1375.41,1472.54
2043-01-23,1441.42,1496.37,1368.9,1342.76
2043-01-24,1401.44,1293.0,1413.68,1485.11
2043-01-27,1361.91,1230.51,1309.75,1316.38
2043-01-28,1380.91,1217.23,1072.96,1208.51
2043-01-29,1274.38,1277.66,1189.69,1365.34
2043-01-30,1390.89,1255.29,1332.82,1253.93
2043-01-31,1197.6,1162.29,1269.37,14988.32634859284
2043-02-03,1322.92,1156.81,1397.24,1308.44
2043-02-04,1335.31,1204.75,1381.19,1249.63
2043-02-05,,1440.44,1242.35,1146.77
2043-02-06,1485.04,1425.32,1257.76,1369.62
2043-02-07,1269.35,1469.89,1486.18,1398.24
2043-02-10,1205.92,1310.79,1287.18,1447.97
2043-02-11,1222.13,1456.18,1109.06,1253.93
2043-02-12,1336.03,1579.64,1337.58,1087.27
2043-02-14,1250.4,1369.48,1473.02,1435.2
2043-02-17,1365.36,1434.32,1293.74,
2043-02-18,1275.8,1465.63,1140.56,1330.33
2043-02-19,1292.95,1270.8,1442.54,1349.41
2043-02-20,1382.56,1391.01,,1282.95
2043-02-21,1188.27,1334.64,1296.25,1317.1
2043-02-24,1500.79,1449.39,1356.99,1324.52
2043-02-25,1206.43,1547.05,1331.78,1478.15
2043-02-26,1197.09,1342.84,1477.68,1162.22
2043-02-27,1304.7,1349.72,1336.53,
2043-02-28,1209.01,1570.01,1339.62,1431.19
2043-03-03,1356.58,1262.86,1322.28,1425.23
2043-03-04,1522.58,1433.14,1387.41,1401.69
2043-03-05,1378.78,1430.22,1418.41,1241.52
2043-03-06,1176.09,1280.81,1411.19,1307.66
2043-03-07,1292.81,1328.13,,1321.75
2043-03-10,1243.92,1397.81,1438.96,1341.03
2043-03-11,1195.12,1506.48,1368.21,1224.55
2043-03-12,1403.3,1368.49,1259.99,1466.9
2043-03-13,1201.88,1439.56,1490.29,1495.12
2043-03-17,,1376.63,1520.73,1120.19
2043-03-19,1380.4,1307.28,1424.75,1299.6
2043-03-20,1375.72,1344.36,1402.23,1507.33
2043-03-21,1413.68,1211.93,1331.2,
2043-03-22,1254.18,1161.26,1282.14,1271.42
2043-03-24,1305.42,1387.05,1477.46,1509.22
2043-03-25,1383.61,1265.54,1510.59,1653.41
2043-03-26,1368.58,1312.32,1296.77,1387.93
2043-03-27,1368.6,1355.42,1376.43,1500.32
2043-03-28,1130.23,1264.91,1345.58,1315.38
2043-03-31,,1314.33,1384.61,1257.39
2043-04-01,1404.88,1397.02,1362.91,1207.61
2043-04-02,1419.22,1269.05,1396.39,1173.3
2043-04-03,1280.24,1442.12,1452.31,1344.9
2043-04-04,1222.34,1393.18,1360.99,1414.63
2043-04-07,,1296.49,1258.57,1436.28
2043-04-08,1349.82,1451.27,1411.8,1392.63
2043-04-09,1365.13,1336.44,1391.11,1378.35
2043-04-10,1476.16,1387.01,1388.08,1251.59
2043-04-11,1396.38,1150.77,1345.41,1247.85
2043-04-15,1403.25,1363.87,1299.56,1484.55
2043-04-16,1550.26,1486.37,1385.49,1636.9
2043-04-17,1406.49,1395.43,1347.87,1639.83
2043-04-21,1504.85,1197.66,1530.02,1355.73
2043-04-22,1291.37,1245.76,1460.24,1680.87
2043-04-23,,1249.21,1391.6,1370.29
2043-04-24,1409.67,1597.94,1471.4,1410.01
2043-04-25,1325.87,1357.84,1436.24,1200.88
2043-04-28,1377.73,1258.34,1513.71,1502.55
2043-04-29,1336.27,1300.21,1192.22,1390.12
2043-04-30,1207.75,1392.76,1428.74,1412.38
2043-05-02,1406.55,1476.29,1337.03,1329.69
2043-05-05,1393.04,1489.76,1127.76,1402.91
2043-05-06,1283.14,1305.48,1275.87,1464.8
2043-05-07,1485.11,1202.87,1367.32,1386.64
2043-05-08,1349.11,1335.01,1370.63,1444.81
2043-05-09,1442.57,1490.01,1231.84,1312.52
2043-05-12,1533.51,1409.01,1450.72,1293.57
2043-05-13,1491.22,1563.77,1438.13,1462.14
2043-05-14,1583.59,1462.98,1613.85,1554.77
2043-05-15,1641.08,1323.64,1342.17,1381.83
2043-05-16,1406.71,1391.5,1330.51,1329.29
2043-05-19,1414.29,1341.65,1247.67,1327.93
2043-05-20,1375.94,1434.86,1367.21,1375.28
2043-05-21,1471.74,1447.54,1478.66,1219.66
2043-05-22,1267.6,1452.64,1240.49,1401.76
2043-05-23,1372.4,1401.62,1401.55,1201.6
2043-05-26,1388.4,1455.32,1466.01,1256.09
2043-05-27,1603.21,1357.59,1429.4,1471.35
2043-05-28,1530.07,1258.44,1282.17,1476.56
2043-05-29,1344.7,1305.84,1404.61,1447.01
2043-05-30,1455.34,1477.2,1370.67,1366.92
2043-06-02,1528.67,1376.67,1340.39,1311.82
2043-06-03,1483.37,1345.16,1271.93,1377.95
2043-06-04,1380.98,1257.32,1482.32,1303.97
2043-06-05,1309.5,1346.25,1500.71,1453.38
2043-06-06,1523.38,1439.63,1366.09,1527.01
2043-06-09,1407.12,1259.87,1481.68,1405.77
2043-06-10,1510.43,1516.91,1242.23,1182.29
2043-06-11,1331.87,1414.68,1362.63,1350.61
2043-06-12,,1421.7,1427.62,1240.59
2043-06-13,1384.65,1213.46,1440.38,1271.73
2043-06-16,1341.37,1382.75,1424.12,1421.26
2043-06-17,1348.83,1323.59,1581.85,1426.4
2043-06-18,1191.62,1364.45,1333.26,1405.43
2043-06-19,1447.85,1294.76,1218.51,1545.56
2043-06-20,1404.54,1325.06,1521.02,1370.49
2043-06-23,,1418.61,1369.95,1390.32
2043-06-24,1514.6,1548.01,1365.54,1490.13
2043-06-25,1470.12,1544.55,1532.92,1395.49
2043-06-26,1459.08,,1437.48,1529.9
2043-06-27,1452.62,1472.12,1408.03,1408.96
2043-06-30,1453.92,1527.7,1280.52,1411.51
2043-07-01,1506.06,1510.15,1327.65,1514.1
2043-07-02,1585.55,1418.23,1353.98,1488.52
2043-07-03,,1449.09,1566.14,1561.02
2043-07-04,1410.79,1546.93,1499.79,1462.37
2043-07-07,1439.76,1535.48,1501.89,1309.6
2043-07-08,1250.38,1525.63,1312.8,1259.62
2043-07-09,1201.56,1429.6,1402.39,1464.07
2043-07-10,1585.69,1325.31,1246.7,1474.28
2043-07-11,1199.73,1395.75,1328.55,1571.65
2043-07-14,1374.39,1444.9,1356.1,1391.27
2043-07-15,1551.13,1145.46,1470.82,1478.41
2043-07-16,1448.6,15723.39611641366,1581.6,1460.58
2043-07-17,1260.99,1305.4,1441.7,1597.63
2043-07-18,1244.73,1297.02,1298.15,1338.19
2043-07-21,1367.68,1408.25,1341.81,1275.5
2043-07-22,1409.48,1431.62,1295.43,1368.32
2043-07-23,1186.48,1442.83,1106.86,1347.04
2043-07-24,1495.9,1528.55,1411.54,1440.07
2043-07-25,1411.58,1495.98,1411.56,1339.12
2043-07-28,1427.86,1348.61,10415.788539335721,1315.35
2043-07-29,1230.98,1367.97,1338.07,1226.27
2043-07-30,1442.89,1354.47,1612.46,1318.29
